key;pt;es
# res://scenes/GameMain.tscn;;
save game;guardar jogo;
;;
# res://scenes/UI/DialogueBox.tscn;;
(speaker's line);(fala do personagem);
(speaker's name);(nome do personagem);
;;
# res://scenes/maps/TestArea/area_states/CH0_sigmund.tscn;;
(no use talking to him...);(não vale a pena falar com ele…);
...im gonna kill this guy one day;...vou matar este gajo um dia;
anyway leave me the fuck alone thank uuuuu;ok então deixa me em paz obrigadoooooo;
bro what;bro oque;
die NOWWWWW;morre AGORAAAA;
dude... yuuka would HATE ts;puto… a yuuka ia ODIAR isto;
exist;existir;
fuck you bitch;vai te foder puta;
hey kazu whats up;hey chico que se passa;
so are u chill yet gang;então já desanuviaste?;
what did i do;oqq eu fiz;
;;
# res://scripts/modules/DialogueModule.gd;;
;;
???;???;???
;;
# res://scripts/modules/GeneralModule.gd;;
'Kazuhito';‘Chico’;
'Schaeffer';;
Ayana Susume;Sierra Camões;
Daiya Adelaide;Dália Adelaide;
Edwin Winfield;;
Gōki Yoshiaki;Ezequiel ‘Zeca’ Duarte;
Ikue Fuyumi;Inês Beiramar;
Kaoru Nakajima;;
Kazuhito Kobayashi;Francisco ‘Chico’ Silva;
Lance Katsunosuke;Leonardo Salvador;
Naomi Anttonen;Noélia Antunes;
Reina Watanabe;Valéria Traves;
Ren Watanabe;Vítor Traves;
Ryuji Ryuichi;Rodrigo Rodrigues;
Sebastian Kagaku;Sebastião Reis;
Shiro Sakamoto;Bianca Monteiro;
Shizuka Yukino;Serena Neves;
Sukai Manato;Célio Valentim;
The Madame;A Madame;
Willow Asher;Laura Felícia;
Yuuka Katashi;Ândria Vieira;
Yuuto Katashi;André Vieira;
;;
# res://scripts/trial/trial_scripts/TrialScript0.tscn;;
kys all of u;matem se todos vocês;
lowkey not cool bruh;lowkey nada fixe bro;
